grant_title,id,organization,total_amount,group,Grant start date,start_month,start_day,start_year
New Mexico Business Roundtable,1,New Mexico Business Roundtable for Educational Excellence,5000,GPE,2/4/2010,2,4,GPE
LA NSC Match,2,Trustees of Dartmouth College,27727,GPE,8/3/2009,8,3,GPE
Mathematics Assessment for Learning Phase One RFP,3,Denver School of Science and Technology Inc.,36018,GPE,11/12/2009,11,12,GPE
Convening of Stakeholder Planning Committee for the Institute for Local Innovation in Teaching and Learning,4,The NEA Foundation for the Improvement of Education,38420,GPE,3/11/2010,3,11,GPE
Conference Support,5,New Schools for New Orleans,50000,GPE,10/12/2009,10,12,GPE
Conference Support Grant on differentiated compensation symposium,6,Battelle For Kids,50000,GPE,6/30/2009,6,30,GPE
Conference Support On School Turnaround Issues,7,FSG Social Impact Advisors,50000,GPE,9/24/2009,9,24,GPE
City Based Proposal for What Works Fund - Aspire Public Schools,8,Aspire Public Schools,51500,GPE,10/29/2009,10,29,GPE
Formative Assessment Task Development and Validation (Supplemental to OPP53449),9,Educational Policy Improvement Center,55752,GPE,11/16/2009,11,16,GPE
City Based Proposal for What Works Fund - E3 Alliance,10,E3 Alliance,56245,GPE,10/28/2009,10,28,GPE
Light touch communications grant for EET district partner (Hillsborough),11,"Hillsborough Education Foundation, Inc.",60000,GPE,11/2/2009,11,2,GPE
Light touch communications grant for EET district partner (LA CMOs),12,The College-Ready Promise,60000,GPE,11/2/2009,11,2,GPE
Light touch communications grant for EET district partner (Memphis),13,Memphis City Schools Foundation,60000,GPE,11/2/2009,11,2,GPE
Light touch communications grant for EET district partners (Pittsburgh),14,Pittsburgh Public Schools,60000,GPE,11/2/2009,11,2,GPE
City Based Proposal for What Works Fund - GHCF,15,Greater Houston Community Foundation,68500,GPE,10/28/2009,10,28,GPE
City Based Proposal for What Works Fund - New Visions for Public Schools,16,"New Visions for Public Schools, Inc",70116,GPE,11/10/2009,11,10,GPE
City Based Proposal for What Works Fund - Philadelphia Public Schools,17,School District of Philadelphia,74219,GPE,11/13/2009,11,13,GPE
Mathematics Assessment for Learning Phase One RFP,18,Hamilton County Department of Education,74800,GPE,11/1/2009,11,1,GPE
City Based Proposal for What Works Fund – Internationals Network (with NCLR),19,Internationals Network For Public Schools Inc,74900,GPE,3/24/2010,3,24,GPE
City Based Proposal for What Works Fund - Minneapolis Public Schools,20,Achieve Minneapolis,74963,GPE,10/29/2009,10,29,GPE
City Based Proposal for What Works Fund - PTE,21,The College-Ready Promise,75000,GPE,11/4/2009,11,4,GPE
TPERF Statewide Education Summit and Legislative Briefing,22,Texas Public Education Reform Foundation,75000,GPE,10/1/2008,10,1,GPE
City Based Proposal for What Works Fund - NYC Charter Center,23,New York City Center for Charter School Excellence,75300,GPE,10/30/2009,10,30,GPE
